Playlist ID,Add new videos to top,Playlist Image 1 Create Timestamp,Playlist Image 1 URL,Playlist Image 1 Height,Playlist Image 1 Width,Playlist Image 2 Create Timestamp,Playlist Image 2 URL,Playlist Image 2 Height,Playlist Image 2 Width,Playlist Title (Original),Playlist Title (Original) Language,Playlist Create Timestamp,Playlist Update Timestamp,Playlist Video Order,Playlist Visibility
PL5IWFsL2lbEmEJ3nHenXP6IibDmuoC0ET,False,2023-07-16T13:02:02.877017053+00:00,https://yt3.googleusercontent.com/SJkwZYoHHtw_fIEMZAW7wykWXcsEOlYrejrNps_Yc02ioP2Y0sUoFPNp3QJQJgH19YoZI7JiJQ,1000,1000,,,,,Easton Chop Up,,2015-06-01T17:44:59+00:00,2025-10-20T23:14:24+00:00,Date Added (Oldest),Public
PL5IWFsL2lbEnGI3CmLFEPr2pz5sFw-jxU,False,,,,,,,,,Post punk,,2015-05-07T06:14:50+00:00,2026-02-01T21:33:10+00:00,Date Published (Oldest),Private
PL5IWFsL2lbEloYzjCsvM6nJsURT0RAk_X,False,,,,,,,,,Reason,,2015-05-01T18:19:48+00:00,2025-04-25T23:15:50+00:00,Date Added (Newest),Private
PL5IWFsL2lbEkhmw8B6rLVwawpoBau7MYw,False,2020-12-10T12:56:55.89582934+00:00,https://yt3.ggpht.com/P_elcPLfUqlidXlm15BO5bL3knrK3dw1MpEKyqxe23PHV7m6N2LFhdkRN0RcIt-BnDqyOiWaEPs,1000,1000,,,,,Crofters,,2014-08-31T07:53:07+00:00,2026-02-01T21:33:10+00:00,Most Popular,Private
PL5IWFsL2lbEmoyJZrqRJF1WIbXjFge4cb,False,2021-06-26T13:53:34.230210369+00:00,https://yt3.ggpht.com/uPIj_OyNrRpR4Ws2krU3vkb0zkkk7Oz-5f1ePJTNgOl_DuhpGNWtIxNM14R7cv1ljLLfNMSJ8Uw,1000,1000,2026-01-26T08:36:27.600361418+00:00,https://yt3.googleusercontent.com/8TuRbwvLwyPgvKLewkZsU0t2Y3B7Gf1BLfnRw1qNluE734OqzstfXQI7m4lmsYlPnJEzDyzMew,1000,1000,reneblueprint,,2014-07-08T15:14:21+00:00,2026-02-01T21:33:10+00:00,Most Popular,Private
FLFLBnuqon8OklNiEFXPO-kQ,True,,,,,,,,,Favorites,en_US,2013-09-10T19:31:45+00:00,2025-11-11T18:09:37+00:00,Manual,Public
PL5IWFsL2lbElTzzApA9t8aVMhwCDOKkWa,False,,,,,,,,,West African Cosmos,,2013-02-08T08:50:31+00:00,2020-11-20T12:11:44+00:00,Manual,Public
PL52103F89ABD10732,False,,,,,,,,,Watch later,en_US,2012-03-21T14:59:48+00:00,2026-02-01T19:15:56+00:00,Date Added (Newest),Private





